attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,employment-allocation,,,,local-authority-eng:COP,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:COR,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:COT,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:COV,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CRA,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CRW,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CRY,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:DAC,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:DAL,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:DAR,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DAV,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DEB,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DER,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DNC,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DOV,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DST,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DUD,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:DUR,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EAL,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EAS,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EAT,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ECA,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EDE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EDN,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EDO,employment-allocation,2021-09-03T15:46:51.732Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:EHA,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EHE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ELI,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ELM,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ENF,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ENO,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EPP,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EPS,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ERE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:ERY,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EST,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:EXE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:FAR,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:FEN,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:FOE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:FOR,employment-allocation,2021-09-03T15:46:51.732Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:FYL,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GAT,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GED,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GLA,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GLO,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GOS,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GRA,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GRE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GRT,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:GRY,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAA,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAE,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAG,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAL,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAO,employment-allocation,2021-09-03T15:46:51.732Z,,
,employment-allocation,,,,local-authority-eng:HAR,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HAS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HAT,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HAV,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HCK,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HEF,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HER,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HIG,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HIL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HIN,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HMF,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HNS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HOR,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HPL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HRW,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HRY,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HUN,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:HYN,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:IOS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:IOW,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:IPS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:ISL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KEC,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KET,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KHL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KIN,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KIR,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KTT,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:KWL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LAC,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LBH,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LCE,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LDS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LEE,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LEW,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LIC,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LIF,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LIV,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LND,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:LUT,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MAI,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MAL,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MAN,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MAS,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MAV,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MDB,employment-allocation,2021-09-03T15:46:51.733Z,,
,employment-allocation,,,,local-authority-eng:MDE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MDW,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MEL,employment-allocation,2021-09-03T15:46:51.734Z,,
